name,description
Sharpshooter Breath Control Tier 1,Increases Stability by 5%
Sharpshooter Breath Control Tier 2,Increases Stability by 10%
Sharpshooter Breath Control Tier 3,Increases Stability by 15%
Sharpshooter Depleted Rounds Tier 1,Increases Marksman Rifle Damage by 5%
Sharpshooter Depleted Rounds Tier 2,Increases Marksman Rifle Damage by 10%
Sharpshooter Depleted Rounds Tier 3,Increases Marksman Rifle Damage by 15%
Sharpshooter E.M.I Tier 1,Increases Assault Rifle Damage by 5%
Sharpshooter E.M.I Tier 2,Increases Assault Rifle Damage by 10%
Sharpshooter E.M.I Tier 3,Increases Assault Rifle Damage by 15%
Sharpshooter Emergency Cleanse Tier 1,"Armor kits repair 100%, remove status effects and increases resistance to bleed, poison, and burn for 20s"
Sharpshooter Group Signature Ammo Acquisition Tier 1,"Killing enemies with headshots adds 1 to your groups ammo bar, excluding kills with the spec weapon"
Sharpshooter Gunslinger Tier 1,Increases Pistol Damage by 5%
Sharpshooter Gunslinger Tier 2,Increases Pistol Damage by 10%
Sharpshooter Gunslinger Tier 3,Increases Pistol Damage by 15%
Sharpshooter My Home is My Castle Tier 1,Bonus armor gained while in cover
Sharpshooter One in the Head Tier 1,Increased headshot damage by 3% with Rifles and Marksman Rifles
Sharpshooter One in the Head Tier 2,Increased headshot damage by 6% with Rifles and Marksman Rifles
Sharpshooter One in the Head Tier 3,Increased headshot damage by 9% with Rifles and Marksman Rifles
Sharpshooter One in the Head Tier 4,Increased headshot damage by 12% with Rifles and Marksman Rifles
Sharpshooter One in the Head Tier 5,Increased headshot damage by 15% with Rifles and Marksman Rifles
Sharpshooter Onslaught Tier 1,Increases LMG Damage by 5%
Sharpshooter Onslaught Tier 2,Increases LMG Damage by 10%
Sharpshooter Onslaught Tier 3,Increases LMG Damage by 15%
Sharpshooter Round After Round Tier 1,"After 20 seconds in cover, you start generating 5 MMR and 5 Rifle ammo every 10 seconds"
Sharpshooter Running the Gun Tier 1,Increases Shotgun Damage by 5%
Sharpshooter Running the Gun Tier 2,Increases Shotgun Damage by 10%
Sharpshooter Running the Gun Tier 3,Increases Shotgun Damage by 15%
Sharpshooter Sharpshooter Tactical Link Tier 1,All group members that are closer to enemies than you get +10% headshot damage
Sharpshooter Signature Ammo Acquisition Tier 1,"Killing enemies with headshots adds 2 to the ammo bar, excluding kills with the spec weapon"
Sharpshooter Signature Weapon Damage Tier 1,Increases Signature Weapon Damage by 10%
Sharpshooter Signature Weapon Damage Tier 2,Increases Signature Weapon Damage by 20%
Sharpshooter Signature Weapon Damage Tier 3,Increases Signature Weapon Damage by 30%
Sharpshooter Signature Weapon Damage Tier 4,Increases Signature Weapon Damage by 40%
Sharpshooter Spray and Pray Tier 1,Increases SMG Damage by 5%
Sharpshooter Spray and Pray Tier 2,Increases SMG Damage by 10%
Sharpshooter Spray and Pray Tier 3,Increases SMG Damage by 15%
Sharpshooter This is my Rifle Tier 1,Increases Rifle Damage by 5%
Sharpshooter This is my Rifle Tier 2,Increases Rifle Damage by 10%
Sharpshooter This is my Rifle Tier 3,Increases Rifle Damage by 15%
Sharpshooter Vital Protection Tier 1,Increases Pulse Resistance by 50%
Survivalist Crunch Time Tier 1,"While in cover, gain 10% skill haste"
Survivalist Depleted Rounds Tier 1,Increases Marksman Rifle Damage by 5%
Survivalist Depleted Rounds Tier 2,Increases Marksman Rifle Damage by 10%
Survivalist Depleted Rounds Tier 3,Increases Marksman Rifle Damage by 15%
Survivalist Distributed Repair Tier 1,"Armor kits now repair over 5 seconds instead of instantly, but also apply to group members within 20 meters"
Survivalist E.M.I Tier 1,Increases Assault Rifle Damage by 5%
Survivalist E.M.I Tier 2,Increases Assault Rifle Damage by 10%
Survivalist E.M.I Tier 3,Increases Assault Rifle Damage by 15%
Survivalist Elite Defense Tier 1,Increases Protection from Elites by 3%
Survivalist Elite Defense Tier 2,Increases Protection from Elites by 6%
